i am happy	je suis heureux
yes we have two dogs	oui nous avons deux chiens
we have two dogs .	nous avons deux chiens .
the weather is nice	le temps est beau
yes the weather is nice	oui le temps est beau
the weather is nice .	le temps est beau .
i work in an office	je travaille dans un bureau
yes i work in an office	oui je travaille dans un bureau
i work in an office .	je travaille dans un bureau .
she studies medicine	elle etudie la medecine
yes she studies medicine	oui elle etudie la medecine
she studies medicine .	elle etudie la medecine .
he is very tall	il est tres grand
yes he is very tall	oui il est tres grand
he is very tall .	il est tres grand .
i am not afraid	je n ai pas peur
yes i am not afraid	oui je n ai pas peur
i am not afraid .	je n ai pas peur .
we celebrate today	nous fêtons aujourd hui
yes we celebrate today	oui nous fêtons aujourd hui
we celebrate today .	nous fêtons aujourd hui .
the garden is lovely	le jardin est joli
yes the garden is lovely	oui le jardin est joli
the garden is lovely .	le jardin est joli .
i take the bus	je prends le bus
yes i take the bus	oui je prends le bus
i take the bus .	je prends le bus .
she visits her family	elle rend visite a sa famille
yes she visits her family	oui elle rend visite a sa famille
she visits her family .	elle rend visite a sa famille .
he is a good friend	il est un bon ami
yes he is a good friend	oui il est un bon ami
he is a good friend .	il est un bon ami .
i finish my work	je termine mon travail
yes i finish my work	oui je termine mon travail
i finish my work .	je termine mon travail .
we learn together	nous apprenons ensemble
yes we learn together	oui nous apprenons ensemble
we learn together .	nous apprenons ensemble .
the night is dark	la nuit est sombre
yes the night is dark	oui la nuit est sombre
the night is dark .	la nuit est sombre .
i feel much better	je me sens beaucoup mieux
yes i feel much better	oui je me sens beaucoup mieux
i feel much better .	je me sens beaucoup mieux .
she speaks three languages	elle parle trois langues
yes she speaks three languages	oui elle parle trois langues
she speaks three languages .	elle parle trois langues .
he listens to music	il ecoute de la musique
yes he listens to music	oui il ecoute de la musique
he listens to music .	il ecoute de la musique .
